Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9689686
,CISS.D.U2.Z0Z.4F.EC.SS_BM.CON,CISS.D.U2.Z0Z.4F.EC.SS_CI.IDX,CISS.D.U2.Z0Z.4F.EC.SS_CO.CON,CISS.D.U2.Z0Z.4F.EC.SS_EM.CON,CISS.D.U2.Z0Z.4F.EC.SS_FI.CON,CISS.D.U2.Z0Z.4F.EC.SS_FX.CON,CISS.D.U2.Z0Z.4F.EC.SS_MM.CON,CISS.D.US.Z0Z.4F.EC.SS_CI.IDX,CISS.M.AT.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.BE.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.CZ.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.DE.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.DK.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.ES.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.FI.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.FR.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.GB.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.GR.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.HU.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.IE.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.IT.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.NL.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.PL.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.PT.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.SE.Z0Z.4F.EC.SOV_CI.IDX,CISS.M.U2.Z0Z.4F.EC.SOV_EW.IDX,CISS.M.U2.Z0Z.4F.EC.SOV_GDPW.IDX
1994-01-21,,,,,,,,0.0131,,,,,,,,,,,,,,,,,,,
1994-01-14,,,,,,,,0.0242,,,,,,,,,,,,,,,,,,,
1994-01-07,,,,,,,,0.0356,,,,,,,,,,,,,,,,,,,
1993-12-31,,,,,,,,0.0098,,,,,,,,,,,,,,,,,,,
1993-12-24,,,,,,,,0.0095,,,,,,,,,,,,,,,,,,,
1993-12-17,,,,,,,,0.0155,,,,,,,,,,,,,,,,,,,
1993-12-10,,,,,,,,0.0117,,,,,,,,,,,,,,,,,,,
1993-12-03,,,,,,,,0.0102,,,,,,,,,,,,,,,,,,,
1993-11-26,,,,,,,,0.0197,,,,,,,,,,,,,,,,,,,
1993-11-19,,,,,,,,0.0105,,,,,,,,,,,,,,,,,,,
1993-11-12,,,,,,,,0.0076,,,,,,,,,,,,,,,,,,,
1993-11-05,,,,,,,,0.0363,,,,,,,,,,,,,,,,,,,
1993-10-29,,,,,,,,0.0076,,,,,,,,,,,,,,,,,,,
1993-10-22,,,,,,,,0.0134,,,,,,,,,,,,,,,,,,,
1993-10-15,,,,,,,,0.0078,,,,,,,,,,,,,,,,,,,
1993-10-08,,,,,,,,0.0064,,,,,,,,,,,,,,,,,,,
1993-10-01,,,,,,,,0.0066,,,,,,,,,,,,,,,,,,,
1993-09-24,,,,,,,,0.0059,,,,,,,,,,,,,,,,,,,
1993-09-17,,,,,,,,0.0045,,,,,,,,,,,,,,,,,,,
1993-09-10,,,,,,,,0.0067,,,,,,,,,,,,,,,,,,,
1993-09-03,,,,,,,,0.0040,,,,,,,,,,,,,,,,,,,
1993-08-27,,,,,,,,0.0051,,,,,,,,,,,,,,,,,,,
1993-08-20,,,,,,,,0.0063,,,,,,,,,,,,,,,,,,,
1993-08-13,,,,,,,,0.0069,,,,,,,,,,,,,,,,,,,
1993-08-06,,,,,,,,0.0054,,,,,,,,,,,,,,,,,,,
1993-07-30,,,,,,,,0.0083,,,,,,,,,,,,,,,,,,,
1993-07-23,,,,,,,,0.0097,,,,,,,,,,,,,,,,,,,
1993-07-16,,,,,,,,0.0090,,,,,,,,,,,,,,,,,,,
1993-07-09,,,,,,,,0.0155,,,,,,,,,,,,,,,,,,,
1993-07-02,,,,,,,,0.0248,,,,,,,,,,,,,,,,,,,
1993-06-25,,,,,,,,0.0211,,,,,,,,,,,,,,,,,,,
1993-06-18,,,,,,,,0.0129,,,,,,,,,,,,,,,,,,,
1993-06-11,,,,,,,,0.0345,,,,,,,,,,,,,,,,,,,
1993-06-04,,,,,,,,0.0275,,,,,,,,,,,,,,,,,,,
1993-05-28,,,,,,,,0.0211,,,,,,,,,,,,,,,,,,,
1993-05-21,,,,,,,,0.0394,,,,,,,,,,,,,,,,,,,
1993-05-14,,,,,,,,0.0208,,,,,,,,,,,,,,,,,,,
1993-05-07,,,,,,,,0.0177,,,,,,,,,,,,,,,,,,,
1993-04-30,,,,,,,,0.0333,,,,,,,,,,,,,,,,,,,
1993-04-23,,,,,,,,0.0266,,,,,,,,,,,,,,,,,,,
1993-04-16,,,,,,,,0.0217,,,,,,,,,,,,,,,,,,,
1993-04-09,,,,,,,,0.0145,,,,,,,,,,,,,,,,,,,
1993-04-02,,,,,,,,0.0202,,,,,,,,,,,,,,,,,,,
1993-03-26,,,,,,,,0.0102,,,,,,,,,,,,,,,,,,,
1993-03-19,,,,,,,,0.0136,,,,,,,,,,,,,,,,,,,
1993-03-12,,,,,,,,0.0263,,,,,,,,,,,,,,,,,,,
1993-03-05,,,,,,,,0.0203,,,,,,,,,,,,,,,,,,,
1993-02-26,,,,,,,,0.0208,,,,,,,,,,,,,,,,,,,
1993-02-19,,,,,,,,0.0335,,,,,,,,,,,,,,,,,,,
1993-02-12,,,,,,,,0.0115,,,,,,,,,,,,,,,,,,,
1993-02-05,,,,,,,,0.0319,,,,,,,,,,,,,,,,,,,
1993-01-29,,,,,,,,0.0160,,,,,,,,,,,,,,,,,,,
1993-01-22,,,,,,,,0.0131,,,,,,,,,,,,,,,,,,,
1993-01-15,,,,,,,,0.0245,,,,,,,,,,,,,,,,,,,
1993-01-08,,,,,,,,0.0197,,,,,,,,,,,,,,,,,,,
1993-01-01,,,,,,,,0.0097,,,,,,,,,,,,,,,,,,,
1992-12-25,,,,,,,,0.0099,,,,,,,,,,,,,,,,,,,
1992-12-18,,,,,,,,0.0178,,,,,,,,,,,,,,,,,,,
1992-12-11,,,,,,,,0.0147,,,,,,,,,,,,,,,,,,,
1992-12-04,,,,,,,,0.0122,,,,,,,,,,,,,,,,,,,
1992-11-27,,,,,,,,0.0116,,,,,,,,,,,,,,,,,,,
1992-11-20,,,,,,,,0.0219,,,,,,,,,,,,,,,,,,,
1992-11-13,,,,,,,,0.0171,,,,,,,,,,,,,,,,,,,
1992-11-06,,,,,,,,0.0238,,,,,,,,,,,,,,,,,,,
1992-10-30,,,,,,,,0.0200,,,,,,,,,,,,,,,,,,,
1992-10-23,,,,,,,,0.0329,,,,,,,,,,,,,,,,,,,
1992-10-16,,,,,,,,0.0177,,,,,,,,,,,,,,,,,,,
1992-10-09,,,,,,,,0.0574,,,,,,,,,,,,,,,,,,,
1992-10-02,,,,,,,,0.0284,,,,,,,,,,,,,,,,,,,
1992-09-25,,,,,,,,0.0242,,,,,,,,,,,,,,,,,,,
1992-09-18,,,,,,,,0.0277,,,,,,,,,,,,,,,,,,,
1992-09-11,,,,,,,,0.0161,,,,,,,,,,,,,,,,,,,
1992-09-04,,,,,,,,0.0258,,,,,,,,,,,,,,,,,,,
1992-08-28,,,,,,,,0.0314,,,,,,,,,,,,,,,,,,,
1992-08-21,,,,,,,,0.0123,,,,,,,,,,,,,,,,,,,
1992-08-14,,,,,,,,0.0121,,,,,,,,,,,,,,,,,,,
1992-08-07,,,,,,,,0.0079,,,,,,,,,,,,,,,,,,,
1992-07-31,,,,,,,,0.0224,,,,,,,,,,,,,,,,,,,
1992-07-24,,,,,,,,0.0137,,,,,,,,,,,,,,,,,,,
1992-07-17,,,,,,,,0.0135,,,,,,,,,,,,,,,,,,,
1992-07-10,,,,,,,,0.0165,,,,,,,,,,,,,,,,,,,
1992-07-03,,,,,,,,0.0482,,,,,,,,,,,,,,,,,,,
1992-06-26,,,,,,,,0.0154,,,,,,,,,,,,,,,,,,,
1992-06-19,,,,,,,,0.0323,,,,,,,,,,,,,,,,,,,
1992-06-12,,,,,,,,0.0209,,,,,,,,,,,,,,,,,,,
1992-06-05,,,,,,,,0.0083,,,,,,,,,,,,,,,,,,,
1992-05-29,,,,,,,,0.0172,,,,,,,,,,,,,,,,,,,
1992-05-22,,,,,,,,0.0232,,,,,,,,,,,,,,,,,,,
1992-05-15,,,,,,,,0.0166,,,,,,,,,,,,,,,,,,,
1992-05-08,,,,,,,,0.0143,,,,,,,,,,,,,,,,,,,
1992-05-01,,,,,,,,0.0233,,,,,,,,,,,,,,,,,,,
1992-04-24,,,,,,,,0.0339,,,,,,,,,,,,,,,,,,,
1992-04-17,,,,,,,,0.0181,,,,,,,,,,,,,,,,,,,
1992-04-10,,,,,,,,0.0788,,,,,,,,,,,,,,,,,,,
1992-04-03,,,,,,,,0.0178,,,,,,,,,,,,,,,,,,,
1992-03-27,,,,,,,,0.0168,,,,,,,,,,,,,,,,,,,
1992-03-20,,,,,,,,0.0176,,,,,,,,,,,,,,,,,,,
1992-03-13,,,,,,,,0.0309,,,,,,,,,,,,,,,,,,,
1992-03-06,,,,,,,,0.0339,,,,,,,,,,,,,,,,,,,
1992-02-28,,,,,,,,0.0275,,,,,,,,,,,,,,,,,,,
1992-02-21,,,,,,,,0.0267,,,,,,,,,,,,,,,,,,,
1992-02-14,,,,,,,,0.0295,,,,,,,,,,,,,,,,,,,
1992-02-07,,,,,,,,0.0243,,,,,,,,,,,,,,,,,,,
1992-01-31,,,,,,,,0.0362,,,,,,,,,,,,,,,,,,,
1992-01-24,,,,,,,,0.0560,,,,,,,,,,,,,,,,,,,
1992-01-17,,,,,,,,0.0546,,,,,,,,,,,,,,,,,,,
1992-01-10,,,,,,,,0.0478,,,,,,,,,,,,,,,,,,,
1992-01-03,,,,,,,,0.0547,,,,,,,,,,,,,,,,,,,
1991-12-27,,,,,,,,0.0761,,,,,,,,,,,,,,,,,,,
1991-12-20,,,,,,,,0.0721,,,,,,,,,,,,,,,,,,,
1991-12-13,,,,,,,,0.0382,,,,,,,,,,,,,,,,,,,
1991-12-06,,,,,,,,0.0663,,,,,,,,,,,,,,,,,,,
1991-11-29,,,,,,,,0.0390,,,,,,,,,,,,,,,,,,,
1991-11-22,,,,,,,,0.0785,,,,,,,,,,,,,,,,,,,
1991-11-15,,,,,,,,0.0809,,,,,,,,,,,,,,,,,,,
1991-11-08,,,,,,,,0.0610,,,,,,,,,,,,,,,,,,,
1991-11-01,,,,,,,,0.0840,,,,,,,,,,,,,,,,,,,
1991-10-25,,,,,,,,0.0439,,,,,,,,,,,,,,,,,,,
1991-10-18,,,,,,,,0.0545,,,,,,,,,,,,,,,,,,,
1991-10-11,,,,,,,,0.0740,,,,,,,,,,,,,,,,,,,
1991-10-04,,,,,,,,0.0588,,,,,,,,,,,,,,,,,,,
1991-09-27,,,,,,,,0.0299,,,,,,,,,,,,,,,,,,,
1991-09-20,,,,,,,,0.0316,,,,,,,,,,,,,,,,,,,
1991-09-13,,,,,,,,0.0522,,,,,,,,,,,,,,,,,,,
1991-09-06,,,,,,,,0.0185,,,,,,,,,,,,,,,,,,,
1991-08-30,,,,,,,,0.0208,,,,,,,,,,,,,,,,,,,
1991-08-23,,,,,,,,0.0849,,,,,,,,,,,,,,,,,,,
1991-08-16,,,,,,,,0.0277,,,,,,,,,,,,,,,,,,,
1991-08-09,,,,,,,,0.0279,,,,,,,,,,,,,,,,,,,
1991-08-02,,,,,,,,0.0212,,,,,,,,,,,,,,,,,,,
1991-07-26,,,,,,,,0.0292,,,,,,,,,,,,,,,,,,,
1991-07-19,,,,,,,,0.0386,,,,,,,,,,,,,,,,,,,
1991-07-12,,,,,,,,0.0444,,,,,,,,,,,,,,,,,,,
1991-07-05,,,,,,,,0.0476,,,,,,,,,,,,,,,,,,,
1991-06-28,,,,,,,,0.0562,,,,,,,,,,,,,,,,,,,
1991-06-21,,,,,,,,0.0433,,,,,,,,,,,,,,,,,,,
1991-06-14,,,,,,,,0.0518,,,,,,,,,,,,,,,,,,,
1991-06-07,,,,,,,,0.0469,,,,,,,,,,,,,,,,,,,
1991-05-31,,,,,,,,0.0646,,,,,,,,,,,,,,,,,,,
1991-05-24,,,,,,,,0.0433,,,,,,,,,,,,,,,,,,,
1991-05-17,,,,,,,,0.0787,,,,,,,,,,,,,,,,,,,
1991-05-10,,,,,,,,0.0653,,,,,,,,,,,,,,,,,,,
1991-05-03,,,,,,,,0.0974,,,,,,,,,,,,,,,,,,,
1991-04-26,,,,,,,,0.0728,,,,,,,,,,,,,,,,,,,
1991-04-19,,,,,,,,0.1028,,,,,,,,,,,,,,,,,,,
1991-04-12,,,,,,,,0.0911,,,,,,,,,,,,,,,,,,,
1991-04-05,,,,,,,,0.1046,,,,,,,,,,,,,,,,,,,
1991-03-29,,,,,,,,0.0899,,,,,,,,,,,,,,,,,,,
1991-03-22,,,,,,,,0.0899,,,,,,,,,,,,,,,,,,,
1991-03-15,,,,,,,,0.0973,,,,,,,,,,,,,,,,,,,
1991-03-08,,,,,,,,0.0979,,,,,,,,,,,,,,,,,,,
1991-03-01,,,,,,,,0.1251,,,,,,,,,,,,,,,,,,,
1991-02-22,,,,,,,,0.0640,,,,,,,,,,,,,,,,,,,
1991-02-15,,,,,,,,0.1370,,,,,,,,,,,,,,,,,,,
1991-02-08,,,,,,,,0.1859,,,,,,,,,,,,,,,,,,,
1991-02-01,,,,,,,,0.1668,,,,,,,,,,,,,,,,,,,
1991-01-25,,,,,,,,0.1569,,,,,,,,,,,,,,,,,,,
1991-01-18,,,,,,,,0.2480,,,,,,,,,,,,,,,,,,,
1991-01-11,,,,,,,,0.1892,,,,,,,,,,,,,,,,,,,
1991-01-04,,,,,,,,0.1125,,,,,,,,,,,,,,,,,,,
1990-12-28,,,,,,,,0.0732,,,,,,,,,,,,,,,,,,,
1990-12-21,,,,,,,,0.1039,,,,,,,,,,,,,,,,,,,
1990-12-14,,,,,,,,0.1016,,,,,,,,,,,,,,,,,,,
1990-12-07,,,,,,,,0.1421,,,,,,,,,,,,,,,,,,,
1990-11-30,,,,,,,,0.1446,,,,,,,,,,,,,,,,,,,
1990-11-23,,,,,,,,0.0905,,,,,,,,,,,,,,,,,,,
1990-11-16,,,,,,,,0.1662,,,,,,,,,,,,,,,,,,,
1990-11-09,,,,,,,,0.2248,,,,,,,,,,,,,,,,,,,
1990-11-02,,,,,,,,0.1718,,,,,,,,,,,,,,,,,,,
1990-10-26,,,,,,,,0.1909,,,,,,,,,,,,,,,,,,,
1990-10-19,,,,,,,,0.2082,,,,,,,,,,,,,,,,,,,
1990-10-12,,,,,,,,0.1825,,,,,,,,,,,,,,,,,,,
1990-10-05,,,,,,,,0.1723,,,,,,,,,,,,,,,,,,,
1990-09-28,,,,,,,,0.1379,,,,,,,,,,,,,,,,,,,
1990-09-21,,,,,,,,0.1214,,,,,,,,,,,,,,,,,,,
1990-09-14,,,,,,,,0.1215,,,,,,,,,,,,,,,,,,,
1990-09-07,,,,,,,,0.0906,,,,,,,,,,,,,,,,,,,
1990-08-31,,,,,,,,0.1536,,,,,,,,,,,,,,,,,,,
1990-08-24,,,,,,,,0.1344,,,,,,,,,,,,,,,,,,,
1990-08-17,,,,,,,,0.1134,,,,,,,,,,,,,,,,,,,
1990-08-10,,,,,,,,0.1030,,,,,,,,,,,,,,,,,,,
1990-08-03,,,,,,,,0.0723,,,,,,,,,,,,,,,,,,,
1990-07-27,,,,,,,,0.0560,,,,,,,,,,,,,,,,,,,
1990-07-20,,,,,,,,0.0283,,,,,,,,,,,,,,,,,,,
1990-07-13,,,,,,,,0.0472,,,,,,,,,,,,,,,,,,,
1990-07-06,,,,,,,,0.0292,,,,,,,,,,,,,,,,,,,
1990-06-29,,,,,,,,0.0373,,,,,,,,,,,,,,,,,,,
1990-06-22,,,,,,,,0.0464,,,,,,,,,,,,,,,,,,,
1990-06-15,,,,,,,,0.0317,,,,,,,,,,,,,,,,,,,
1990-06-08,,,,,,,,0.0447,,,,,,,,,,,,,,,,,,,
1990-06-01,,,,,,,,0.0355,,,,,,,,,,,,,,,,,,,
1990-05-25,,,,,,,,0.0463,,,,,,,,,,,,,,,,,,,
1990-05-18,,,,,,,,0.0331,,,,,,,,,,,,,,,,,,,
1990-05-11,,,,,,,,0.0762,,,,,,,,,,,,,,,,,,,
1990-05-04,,,,,,,,0.0471,,,,,,,,,,,,,,,,,,,
1990-04-27,,,,,,,,0.0387,,,,,,,,,,,,,,,,,,,
1990-04-20,,,,,,,,0.0409,,,,,,,,,,,,,,,,,,,
1990-04-13,,,,,,,,0.0224,,,,,,,,,,,,,,,,,,,
1990-04-06,,,,,,,,0.0470,,,,,,,,,,,,,,,,,,,
1990-03-30,,,,,,,,0.0304,,,,,,,,,,,,,,,,,,,
1990-03-23,,,,,,,,0.0600,,,,,,,,,,,,,,,,,,,
1990-03-16,,,,,,,,0.0390,,,,,,,,,,,,,,,,,,,
1990-03-09,,,,,,,,0.0656,,,,,,,,,,,,,,,,,,,
1990-03-02,,,,,,,,0.0725,,,,,,,,,,,,,,,,,,,
1990-02-23,,,,,,,,0.0545,,,,,,,,,,,,,,,,,,,
1990-02-16,,,,,,,,0.0595,,,,,,,,,,,,,,,,,,,
1990-02-09,,,,,,,,0.0387,,,,,,,,,,,,,,,,,,,
1990-02-02,,,,,,,,0.0672,,,,,,,,,,,,,,,,,,,
1990-01-26,,,,,,,,0.0799,,,,,,,,,,,,,,,,,,,
1990-01-19,,,,,,,,0.0665,,,,,,,,,,,,,,,,,,,
1990-01-12,,,,,,,,0.0615,,,,,,,,,,,,,,,,,,,
1990-01-05,,,,,,,,0.0416,,,,,,,,,,,,,,,,,,,
1989-12-29,,,,,,,,0.0491,,,,,,,,,,,,,,,,,,,
1989-12-22,,,,,,,,0.0712,,,,,,,,,,,,,,,,,,,
1989-12-15,,,,,,,,0.0347,,,,,,,,,,,,,,,,,,,
1989-12-08,,,,,,,,0.0424,,,,,,,,,,,,,,,,,,,
1989-12-01,,,,,,,,0.0483,,,,,,,,,,,,,,,,,,,
1989-11-24,,,,,,,,0.0221,,,,,,,,,,,,,,,,,,,
1989-11-17,,,,,,,,0.0229,,,,,,,,,,,,,,,,,,,
1989-11-10,,,,,,,,0.0474,,,,,,,,,,,,,,,,,,,
1989-11-03,,,,,,,,0.0277,,,,,,,,,,,,,,,,,,,
1989-10-27,,,,,,,,0.0513,,,,,,,,,,,,,,,,,,,
1989-10-20,,,,,,,,0.0496,,,,,,,,,,,,,,,,,,,
1989-10-13,,,,,,,,0.0538,,,,,,,,,,,,,,,,,,,
1989-10-06,,,,,,,,0.0326,,,,,,,,,,,,,,,,,,,
1989-09-29,,,,,,,,0.0265,,,,,,,,,,,,,,,,,,,
1989-09-22,,,,,,,,0.0156,,,,,,,,,,,,,,,,,,,
1989-09-15,,,,,,,,0.0263,,,,,,,,,,,,,,,,,,,
1989-09-08,,,,,,,,0.0133,,,,,,,,,,,,,,,,,,,
1989-09-01,,,,,,,,0.0155,,,,,,,,,,,,,,,,,,,
1989-08-25,,,,,,,,0.0336,,,,,,,,,,,,,,,,,,,
1989-08-18,,,,,,,,0.0199,,,,,,,,,,,,,,,,,,,
1989-08-11,,,,,,,,0.0225,,,,,,,,,,,,,,,,,,,
1989-08-04,,,,,,,,0.0265,,,,,,,,,,,,,,,,,,,
1989-07-28,,,,,,,,0.0242,,,,,,,,,,,,,,,,,,,
1989-07-21,,,,,,,,0.0219,,,,,,,,,,,,,,,,,,,
1989-07-14,,,,,,,,0.0229,,,,,,,,,,,,,,,,,,,
1989-07-07,,,,,,,,0.0287,,,,,,,,,,,,,,,,,,,
1989-06-30,,,,,,,,0.0380,,,,,,,,,,,,,,,,,,,
1989-06-23,,,,,,,,0.0344,,,,,,,,,,,,,,,,,,,
1989-06-16,,,,,,,,0.0299,,,,,,,,,,,,,,,,,,,
1989-06-09,,,,,,,,0.0449,,,,,,,,,,,,,,,,,,,
1989-06-02,,,,,,,,0.0466,,,,,,,,,,,,,,,,,,,
1989-05-26,,,,,,,,0.0503,,,,,,,,,,,,,,,,,,,
1989-05-19,,,,,,,,0.0492,,,,,,,,,,,,,,,,,,,
1989-05-12,,,,,,,,0.0642,,,,,,,,,,,,,,,,,,,
1989-05-05,,,,,,,,0.0236,,,,,,,,,,,,,,,,,,,
1989-04-28,,,,,,,,0.0312,,,,,,,,,,,,,,,,,,,
1989-04-21,,,,,,,,0.0496,,,,,,,,,,,,,,,,,,,
1989-04-14,,,,,,,,0.0400,,,,,,,,,,,,,,,,,,,
1989-04-07,,,,,,,,0.0383,,,,,,,,,,,,,,,,,,,
1989-03-31,,,,,,,,0.0372,,,,,,,,,,,,,,,,,,,
1989-03-24,,,,,,,,0.0319,,,,,,,,,,,,,,,,,,,
1989-03-17,,,,,,,,0.0661,,,,,,,,,,,,,,,,,,,
1989-03-10,,,,,,,,0.0346,,,,,,,,,,,,,,,,,,,
1989-03-03,,,,,,,,0.0446,,,,,,,,,,,,,,,,,,,
1989-02-24,,,,,,,,0.0666,,,,,,,,,,,,,,,,,,,
1989-02-17,,,,,,,,0.0516,,,,,,,,,,,,,,,,,,,
1989-02-10,,,,,,,,0.0607,,,,,,,,,,,,,,,,,,,
1989-02-03,,,,,,,,0.0345,,,,,,,,,,,,,,,,,,,
1989-01-27,,,,,,,,0.0637,,,,,,,,,,,,,,,,,,,
1989-01-20,,,,,,,,0.0459,,,,,,,,,,,,,,,,,,,
1989-01-13,,,,,,,,0.0407,,,,,,,,,,,,,,,,,,,
1989-01-06,,,,,,,,0.0717,,,,,,,,,,,,,,,,,,,
1988-12-30,,,,,,,,0.0424,,,,,,,,,,,,,,,,,,,
1988-12-23,,,,,,,,0.0507,,,,,,,,,,,,,,,,,,,
1988-12-16,,,,,,,,0.0606,,,,,,,,,,,,,,,,,,,
1988-12-09,,,,,,,,0.0960,,,,,,,,,,,,,,,,,,,
1988-12-02,,,,,,,,0.0797,,,,,,,,,,,,,,,,,,,
1988-11-25,,,,,,,,0.0477,,,,,,,,,,,,,,,,,,,
1988-11-18,,,,,,,,0.0586,,,,,,,,,,,,,,,,,,,
1988-11-11,,,,,,,,0.1034,,,,,,,,,,,,,,,,,,,
1988-11-04,,,,,,,,0.0591,,,,,,,,,,,,,,,,,,,
1988-10-28,,,,,,,,0.0679,,,,,,,,,,,,,,,,,,,
1988-10-21,,,,,,,,0.0928,,,,,,,,,,,,,,,,,,,
1988-10-14,,,,,,,,0.0855,,,,,,,,,,,,,,,,,,,
1988-10-07,,,,,,,,0.0949,,,,,,,,,,,,,,,,,,,
1988-09-30,,,,,,,,0.0724,,,,,,,,,,,,,,,,,,,
1988-09-23,,,,,,,,0.0804,,,,,,,,,,,,,,,,,,,
1988-09-16,,,,,,,,0.1072,,,,,,,,,,,,,,,,,,,
1988-09-09,,,,,,,,0.0867,,,,,,,,,,,,,,,,,,,
1988-09-02,,,,,,,,0.1774,,,,,,,,,,,,,,,,,,,
1988-08-26,,,,,,,,0.1381,,,,,,,,,,,,,,,,,,,
1988-08-19,,,,,,,,0.1507,,,,,,,,,,,,,,,,,,,
1988-08-12,,,,,,,,0.2134,,,,,,,,,,,,,,,,,,,
1988-08-05,,,,,,,,0.1076,,,,,,,,,,,,,,,,,,,
1988-07-29,,,,,,,,0.1999,,,,,,,,,,,,,,,,,,,
1988-07-22,,,,,,,,0.2151,,,,,,,,,,,,,,,,,,,
1988-07-15,,,,,,,,0.1576,,,,,,,,,,,,,,,,,,,
1988-07-08,,,,,,,,0.1926,,,,,,,,,,,,,,,,,,,
1988-07-01,,,,,,,,0.2448,,,,,,,,,,,,,,,,,,,
1988-06-24,,,,,,,,0.2147,,,,,,,,,,,,,,,,,,,
1988-06-17,,,,,,,,0.1891,,,,,,,,,,,,,,,,,,,
1988-06-10,,,,,,,,0.1706,,,,,,,,,,,,,,,,,,,
1988-06-03,,,,,,,,0.2182,,,,,,,,,,,,,,,,,,,
1988-05-27,,,,,,,,0.1587,,,,,,,,,,,,,,,,,,,
1988-05-20,,,,,,,,0.2193,,,,,,,,,,,,,,,,,,,
1988-05-13,,,,,,,,0.1597,,,,,,,,,,,,,,,,,,,
1988-05-06,,,,,,,,0.1516,,,,,,,,,,,,,,,,,,,
1988-04-29,,,,,,,,0.1499,,,,,,,,,,,,,,,,,,,
1988-04-22,,,,,,,,0.1601,,,,,,,,,,,,,,,,,,,
1988-04-15,,,,,,,,0.3346,,,,,,,,,,,,,,,,,,,
1988-04-08,,,,,,,,0.2564,,,,,,,,,,,,,,,,,,,
1988-04-01,,,,,,,,0.1395,,,,,,,,,,,,,,,,,,,
1988-03-25,,,,,,,,0.1936,,,,,,,,,,,,,,,,,,,
1988-03-18,,,,,,,,0.1486,,,,,,,,,,,,,,,,,,,
1988-03-11,,,,,,,,0.1415,,,,,,,,,,,,,,,,,,,
1988-03-04,,,,,,,,0.1808,,,,,,,,,,,,,,,,,,,
1988-02-26,,,,,,,,0.1812,,,,,,,,,,,,,,,,,,,
1988-02-19,,,,,,,,0.1369,,,,,,,,,,,,,,,,,,,
1988-02-12,,,,,,,,0.2791,,,,,,,,,,,,,,,,,,,
1988-02-05,,,,,,,,0.2561,,,,,,,,,,,,,,,,,,,
1988-01-29,,,,,,,,0.3228,,,,,,,,,,,,,,,,,,,
1988-01-22,,,,,,,,0.3425,,,,,,,,,,,,,,,,,,,
1988-01-15,,,,,,,,0.4691,,,,,,,,,,,,,,,,,,,
1988-01-08,,,,,,,,0.4870,,,,,,,,,,,,,,,,,,,
1988-01-01,,,,,,,,0.3527,,,,,,,,,,,,,,,,,,,
1987-12-25,,,,,,,,0.1520,,,,,,,,,,,,,,,,,,,
1987-12-18,,,,,,,,0.2821,,,,,,,,,,,,,,,,,,,
1987-12-11,,,,,,,,0.3429,,,,,,,,,,,,,,,,,,,
1987-12-04,,,,,,,,0.3739,,,,,,,,,,,,,,,,,,,
1987-11-27,,,,,,,,0.2317,,,,,,,,,,,,,,,,,,,
1987-11-20,,,,,,,,0.2594,,,,,,,,,,,,,,,,,,,
1987-11-13,,,,,,,,0.2406,,,,,,,,,,,,,,,,,,,
1987-11-06,,,,,,,,0.3341,,,,,,,,,,,,,,,,,,,
1987-10-30,,,,,,,,0.2907,,,,,,,,,,,,,,,,,,,
1987-10-23,,,,,,,,0.2990,,,,,,,,,,,,,,,,,,,
1987-10-16,,,,,,,,0.1185,,,,,,,,,,,,,,,,,,,
1987-10-09,,,,,,,,0.0801,,,,,,,,,,,,,,,,,,,
1987-10-02,,,,,,,,0.0668,,,,,,,,,,,,,,,,,,,
1987-09-25,,,,,,,,0.0720,,,,,,,,,,,,,,,,,,,
1987-09-18,,,,,,,,0.0625,,,,,,,,,,,,,,,,,,,
1987-09-11,,,,,,,,0.0762,,,,,,,,,,,,,,,,,,,
1987-09-04,,,,,,,,0.0836,,,,,,,,,,,,,,,,,,,
1987-08-28,,,,,,,,0.0673,,,,,,,,,,,,,,,,,,,
1987-08-21,,,,,,,,0.0645,,,,,,,,,,,,,,,,,,,
1987-08-14,,,,,,,,0.0618,,,,,,,,,,,,,,,,,,,
1987-08-07,,,,,,,,0.0966,,,,,,,,,,,,,,,,,,,
1987-07-31,,,,,,,,0.0531,,,,,,,,,,,,,,,,,,,
1987-07-24,,,,,,,,0.0698,,,,,,,,,,,,,,,,,,,
1987-07-17,,,,,,,,0.0802,,,,,,,,,,,,,,,,,,,
1987-07-10,,,,,,,,0.0390,,,,,,,,,,,,,,,,,,,
1987-07-03,,,,,,,,0.0439,,,,,,,,,,,,,,,,,,,
1987-06-26,,,,,,,,0.0714,,,,,,,,,,,,,,,,,,,
1987-06-19,,,,,,,,0.0348,,,,,,,,,,,,,,,,,,,
